Company_Name,Product_Name,Product_Category,Technology_Type,Market_Segment,Revenue(Millions),R&D_Expenditure(Millions),Market_Share(Percentage),Number_of_Employees,Industry_Focus,Country,City,Year_Founded,Partnership_Status,Customer_Satisfaction_Index
"TechEd Innovations   ","EduSphere           ","EdTech            ","Learning Platforms","Education     ",28,5,10,280,"Educational Tech   ","UK           ",Manchester,2014,"Active              ",3.9
"AeroSky Systems      ","SkyCargo            ","Aerospace         ","Drone Delivery   ","Logistics      ",55,13,17,550,"Aviation Tech      ","Germany      ","Munich    ",2007,"Active              ",4.3
"BioTech Solutions    ","BioCure             ","Biotechnology     ","Genetic Engineering","Biotech      ",90,22,28,900,"BioTech            ","Canada       ","Montreal  ",2009,"Active              ",4.7
"SmartGrid Dynamics   ","GridOptimizer       ","Energy Tech       ","Smart Grid       ","Energy         ",45,11,16,450,"Power Solutions    ","USA          ","Chicago   ",2011,"Active              ",4.2
"AutoVision Tech      ","DriveAssist          ","Automotive Tech   ","ADAS             ","Automotive    ",65,15,20,650,"Auto Technology    ","Japan        ","Nagoya    ",2008,"Active              ",4.5
"AquaTech Innovations ","AquaHarvest         ","Water Tech        ","Water Purification ","Environmental ",40,9,14,400,"Water Solutions    ","Australia    ","Perth     ",2012,"Active              ",4.1
"MedRehab Solutions   ","RehabGenius         ","Health Tech       ","Rehabilitation Tech ","Healthcare   ",36,8,13,360,"Medical Technology ","France       ","Marseille ",2010,"Active              ",4.3
"CloudVision Corp.    ","VisionCloud         ","Cloud Services    ","Cloud Computing  ","SMB            ",22,5,9,220,"Cloud Solutions    ","India        ","Bangalore ",2013,"Active              ",3.8
"TechFarm Innovations ","AgriSense            ","AgriTech         ","IoT              ","Agriculture    ",50,12,18,500,"Agricultural Tech  ","USA          ","Austin    ",2012,"Inactive            ",4
"TechGear Solutions ","QuantumX Pro      ","Electronics      ","IoT              ","Consumer        ",75,12,15,600,"Consumer Electronics ","USA        ","San Francisco ",2010,"Active              ",4.2
"InnovateSoft      ","EnterpriseSuite    ","Software         ","SaaS             ","B2B             ",120,20,22,1200,"Business Services    ","Germany    ","Berlin        ",2005,"Active              ",4.5
"CloudConnect      ","SkyLink Services   ","Cloud Computing  ","Public Cloud    ","Enterprise      ",90,18,18,800,"IT                   ","Japan      ","Tokyo         ",2012,"Active              ",4.4
"HealthSolutions   ","MediTech           ","Health Tech      ","Wearables       ","Healthcare      ",45,8,12,500,"Healthcare          ","Canada     ","Toronto       ",2014,"Active              ",4.3
"SecureNet         ","CyberGuard         ","Cybersecurity    ","Network Security","B2G             ",60,15,20,700,"Security             ","UAE        ","Dubai         ",2008,"Inactive           ",4.6
"GlobalERP         ","EnterpriseManager  ","ERP Solutions    ","Cloud ERP       ","Manufacturing   ",65,14,14,550,"Manufacturing        ","UK         ","London        ",2006,"Active              ",4.1
"MobileInnovator   ","AppXperience       ","Mobile Apps      ","App Development ","SMB             ",30,5,10,300,"Technology           ","Australia  ","Sydney        ",2015,"Active              ",4.2
"DataDynamics      ","DataInsight        ","Big Data         ","Analytics       ","Finance         ",85,20,25,800,"Finance              ","France     ","Paris         ",2009,"Active              ",4.7
"GreenTech         ","EcoPower           ","Renewable Tech   ","Solar Energy    ","Energy          ",50,10,16,450,"Green Energy         ","Brazil     ","Rio de Janeiro ",2011,"Active              ",4.4
"CareTech          ","HealthHub          ","Health Tech      ","Telemedicine    ","Healthcare      ",55,12,18,600,"Healthcare           ","India      ","Mumbai        ",2013,"Active              ",4.5
"QuantumSystems    ","QuantumCompute     ","Quantum Computing","Quantum Computing ","Enterprise    ",100,25,30,1000,"Technology           ","South Korea","Seoul         ",2016,"Active              ",4.8
"AutoTech          ","AutoConnect        ","Automotive Tech  ","Connected Cars  ","Automotive      ",70,15,20,700,"Automotive          ","China      ","Beijing       ",2007,"Active              ",4.3
"EduInnovate       ","EduTechSuite       ","EdTech           ","AI in Education ","Education       ",40,8,12,400,"Education            ","Singapore  ","Singapore     ",2017,"Active              ",4.2
"AeroTech          ","SkyVoyager         ","Aerospace Tech   ","Drone Technology","B2B             ",80,18,25,750,"Aerospace            ","Russia     ","Moscow        ",2010,"Active              ",4.6
"FinTechGlobal     ","FinConnect         ","FinTech          ","Blockchain      ","Finance         ",95,22,28,900,"Financial Services   ","USA        ","New York      ",2012,"Active              ",4.7
"GreenBuild        ","EcoHomes           ","Construction Tech","Sustainable Tech","Construction    ",60,12,15,550,"Construction         ","Canada     ","Vancouver     ",2008,"Active              ",4.4
"SmartRetail       ","ShopConnect        ","Retail Tech      ","AI in Retail    ","Retail          ",35,6,10,350,"Retail               ","Australia  ","Melbourne     ",2014,"Active              ",4
"EnergySys         ","PowerGrid Solutions ","Energy Tech     ","Smart Grid      ","Energy          ",75,20,22,700,"Smart Energy         ","USA        ","Chicago       ",2011,"Active              ",4.5
"TechEd            ","EduHub             ","EdTech           ","Virtual Reality ","Education       ",50,10,18,500,"Education            ","UK         ","Manchester    ",2013,"Inactive           ",4.1
"AgriTechGlobal    ","AgriConnect        ","Agriculture Tech ","Precision Farming ","Agriculture   ",45,8,14,450,"Agriculture          ","Brazil     ","Sao Paulo     ",2009,"Active              ",4.2
"AutoDrive         ","AutoPilot          ","Automotive Tech  ","Autonomous Vehicles ","Automotive ",90,22,25,900,"Automotive          ","Germany    ","Munich        ",2015,"Active              ",4.8
"MedConnect        ","TeleHealth         ","Health Tech      ","Telehealth      ","Healthcare      ",65,15,20,650,"Healthcare           ","South Africa","Johannesburg  ",2012,"Active              ",4.4
"SecureNet         ","SafeGuard          ","Cybersecurity    ","Endpoint Security ","B2B           ",55,12,16,550,"Security             ","USA        ","Washington DC ",2007,"Active              ",4.3
"InfraTech         ","SmartInfra         ","Infrastructure Tech ","Smart Cities   ","Infrastructure  ",75,18,22,750,"Smart Infrastructure ","China      ","Shanghai      ",2010,"Active              ",4.6
"BioTechGlobal     ","BioConnect         ","Biotechnology    ","Genetic Engineering ","Healthcare ",80,20,25,800,"Biotechnology        ","Japan      ","Osaka         ",2014,"Active              ",4.7
"GreenTransit      ","EcoMover           ","Transportation Tech ","Electric Vehicles ","Transportation ",40,8,12,400,"Transportation       ","France     ","Lyon          ",2016,"Active              ",4.2
"SpaceTech         ","StarNavigator       ","Space Technology ","Satellite Systems ","Aerospace     ",100,25,30,1000,"Aerospace            ","Russia     ","St. Petersburg ",2008,"Active              ",4.8
"EduByte           ","LearnSys           ","EdTech           ","Machine Learning in Education ","Education ",30,6,10,300,"Education            ","India      ","Delhi         ",2015,"Active              ",4
"AquaTechGlobal    ","AquaConnect         ","Water Technology ","Water Management ","Environmental ",45,10,14,450,"Environmental        ","Australia  ","Brisbane      ",2009,"Active              ",4.1
"RoboTech          ","RoboAssistant       ","Robotics         ","AI in Robotics  ","Technology      ",70,15,20,700,"Technology           ","Singapore  ","Singapore     ",2011,"Active              ",4.5
"AgroInnovate      ","AgriHarvest         ","Agriculture Tech ","Smart Farming   ","Agriculture    ",55,12,16,550,"Agriculture          ","USA        ","Los Angeles   ",2013,"Active              ",4.3
"RetailInSync      ","ShopFlow            ","Retail Tech      ","IoT in Retail   ","Retail         ",40,8,12,400,"Retail               ","Germany    ","Hamburg       ",2006,"Inactive           ",4.2
"AeroNav           ","SkyGuide            ","Aerospace Tech   ","Air Traffic Management ","Aerospace ",85,18,25,800,"Aerospace            ","Canada     ","Montreal      ",2017,"Active              ",4.4
"EduVista          ","VirtualLearn        ","EdTech           ","Virtual Learning","Education      ",50,12,18,500,"Education            ","South Korea","Busan         ",2009,"Active              ",4.6
"EnviroTech        ","EcoSolutions        ","Environmental Tech ","Pollution Control ","Environmental ",65,15,20,650,"Environmental        ","Brazil     ","Brasilia      ",2014,"Active              ",4.7
"SmartLogistics    ","IntelliCargo        ","Logistics Tech   ","AI in Logistics ","Transportation ",75,20,22,750,"Transportation       ","India      ","Mumbai        ",2010,"Active              ",4.5
"QuantumSys        ","QuantumHub          ","Quantum Computing ","Quantum Networking ","Enterprise ",90,22,28,900,"Technology           ","USA        ","Austin        ",2012,"Active              ",4.8
"HealthConnect      ","MediLink            ","Health Tech      ","Health Information Systems ","Healthcare ",55,15,18,550,"Healthcare           ","France     ","Marseille     ",2015,"Active              ",4.4
"TechGrowth Inc.  ","InnovatePro         ","Software         ","SaaS             ","B2B             ",120,25,18,1200,"Technology           ","USA           ","San Francisco ",2005,"Active               ",4.5
"DataInSync Corp. ","DataHarmony         ","Big Data         ","Analytics        ","Enterprise      ",85,20,15,900,"Finance              ","Canada        ","Toronto       ",2010,"Inactive            ",4.2
"MedTech Innovate ","HealthTrack         ","Health Tech       ","IoT              ","Healthcare      ",55,12,10,600,"Healthcare           ","UK            ","London        ",2008,"Active               ",4.6
"CloudSynergy     ","CloudWare           ","Cloud Services    ","Cloud Computing ","SMB             ",40,10,12,500,"IT                   ","Germany       ","Berlin        ",2012,"Active               ",4.3
"RoboTech Labs    ","RoboAssist          ","Robotics         ","AI               ","Manufacturing   ",70,15,20,800,"Robotics            ","Japan         ","Tokyo         ",2011,"Active               ",4.8
"FinTech Solutions ","FinAnalytics       ","Finance Tech     ","Blockchain       ","Finance         ",95,22,25,1000,"Finance              ","Australia     ","Sydney        ",2007,"Inactive            ",4.7
"GreenEcoTech      ","EcoSolutions       ","Renewable Tech   ","Green Tech        ","Energy          ",30,8,8,400,"Energy               ","France        ","Paris         ",2009,"Active               ",4.1
"MobileInnovate    ","MobileConnect      ","Mobile Apps      ","Mobile           ","Consumer        ",25,5,10,300,"Technology           ","Spain         ","Barcelona     ",2013,"Active               ",4.2
"SecureTech        ","CyberGuard          ","Cybersecurity    ","Security         ","B2G             ",65,18,22,700,"Security             ","India         ","Mumbai        ",2006,"Inactive            ",4.4
"SmartSys Solutions ","SmartOffice         ","ERP Solutions    ","ERP              ","Enterprise      ",50,12,15,600,"Business Services    ","South Korea   ","Seoul         ",2010,"Active               ",4.3
"TechInnovate Labs ","QuantumTech         ","Quantum Computing ","Quantum Computing ","Research        ",80,30,10,500,"Research             ","Sweden        ","Stockholm     ",2015,"Active               ",4.9
"AutoTech Solutions ","AutoAssist          ","Automotive Tech  ","AI               ","Manufacturing   ",75,16,18,700,"Automotive          ","Italy         ","Milan         ",2011,"Active               ",4.6
"EduTech Innovators ","LearnMaster         ","EdTech           ","AI               ","Education       ",35,7,8,400,"Education            ","Brazil        ","Sao Paulo     ",2014,"Inactive            ",4
"AeroTech Dynamics ","FlightMaster        ","Aerospace Tech   ","IoT              ","B2B             ",90,25,20,1000,"Aerospace            ","China         ","Beijing       ",2008,"Active               ",4.7
"AgriTech Solutions ","CropMonitor        ","AgriTech         ","IoT              ","Agriculture     ",40,10,12,500,"Agriculture          ","Mexico        ","Mexico City   ",2012,"Inactive            ",4.2
"TechSavvy Innovate ","SmartLearn          ","eLearning        ","AI               ","Education       ",60,15,15,600,"Education            ","USA           ","New York      ",2009,"Active               ",4.5
"AeroDrones         ","DroneTech           ","Drones           ","Robotics         ","Consumer        ",28,6,10,350,"Technology           ","Germany       ","Munich        ",2013,"Active               ",4.2
"NanoTech Solutions ","NanoWare            ","Nanotechnology   ","Nanotech         ","Research        ",45,12,18,550,"Research             ","Canada        ","Vancouver     ",2010,"Inactive            ",4.4
"SpaceTech Dynamics ","StarNavigator       ","SpaceTech        ","AI               ","Aerospace       ",100,30,25,1200,"Aerospace            ","USA           ","Houston       ",2007,"Active               ",4.8
"EcoLivingTech      ","GreenHome           ","Smart Home       ","IoT              ","Consumer        ",32,8,10,400,"Technology           ","UK            ","Manchester    ",2014,"Inactive            ",4.1
"MedInnovate Labs   ","MediConnect         ","Health Tech       ","IoT              ","Healthcare      ",50,12,15,600,"Healthcare           ","Australia     ","Melbourne     ",2011,"Active               ",4.6
"SecureSys          ","CyberShield         ","Cybersecurity    ","Security         ","B2G             ",70,20,22,800,"Security             ","France        ","Lyon          ",2006,"Inactive            ",4.3
"RoboTech Solutions ","RoboAssist Pro      ","Robotics         ","AI               ","Manufacturing   ",85,18,20,900,"Robotics            ","Japan         ","Osaka         ",2010,"Active               ",4.7
"GreenTech Innovate ","EcoPower            ","Renewable Tech   ","Green Tech        ","Energy          ",38,10,12,450,"Energy               ","Spain         ","Madrid        ",2012,"Inactive            ",4
"MobileConnect Tech ","MobileSync          ","Mobile Apps      ","Mobile           ","Consumer        ",22,5,8,250,"Technology           ","India         ","Delhi         ",2008,"Active               ",4.2
"FinAnalytics Corp  ","FinData             ","Finance Tech     ","Blockchain       ","Finance         ",78,22,25,850,"Finance              ","South Korea   ","Busan         ",2005,"Inactive            ",4.5
"TechNurture        ","TechLearn           ","EdTech           ","AI               ","Education       ",42,10,15,550,"Education            ","Sweden        ","Gothenburg    ",2013,"Active               ",4.3
"AutoTech Innovate  ","AutoDrive           ","Automotive Tech  ","AI               ","Manufacturing   ",68,16,18,750,"Automotive          ","Italy         ","Rome          ",2009,"Active               ",4.6
"EduTech Solutions  ","LearnBoost          ","eLearning        ","AI               ","Education       ",30,7,10,350,"Education            ","Brazil        ","Rio de Janeiro ",2014,"Inactive            ",4.1
"AeroTech Dynamics  ","SkyMaster           ","Aerospace Tech   ","IoT              ","B2B             ",88,25,20,950,"Aerospace            ","China         ","Shanghai      ",2006,"Active               ",4.8
"AgriTech Innovate  ","AgriSolutions       ","AgriTech         ","IoT              ","Agriculture     ",48,12,15,600,"Agriculture          ","Mexico        ","Guadalajara   ",2010,"Inactive            ",4.4
"TechMaster Innovate ","MasterLearn         ","eLearning        ","AI               ","Education       ",65,15,18,700,"Education            ","USA           ","Los Angeles   ",2008,"Active               ",4.5
"AeroDrones Tech    ","SkyGuard            ","Drones           ","Robotics         ","Consumer        ",26,6,8,300,"Technology           ","Germany       ","Hamburg       ",2012,"Active               ",4.2
"NanoTech Innovate  ","NanoSolutions       ","Nanotechnology   ","Nanotech         ","Research        ",40,12,12,500,"Research             ","Canada        ","Montreal      ",2009,"Inactive            ",4.4
"SpaceTech Innovate ","StarSeeker          ","SpaceTech        ","AI               ","Aerospace       ",95,30,25,1100,"Aerospace            ","USA           ","Washington DC ",2007,"Active               ",4.9
"EcoTech Living     ","GreenLiving         ","Smart Home       ","IoT              ","Consumer        ",35,8,10,450,"Technology           ","UK            ","Birmingham    ",2014,"Inactive            ",4.1
"MediTech Innovators ","HealthLink          ","Health Tech       ","IoT              ","Healthcare      ",48,12,15,600,"Healthcare           ","Australia     ","Brisbane      ",2011,"Active               ",4.6
"SecureSys Tech     ","CyberGuard Pro      ","Cybersecurity    ","Security         ","B2G             ",75,20,22,800,"Security             ","France        ","Marseille     ",2006,"Inactive            ",4.3
"RoboTech Dynamics  ","RoboAssist Ultra    ","Robotics         ","AI               ","Manufacturing   ",90,18,20,1000,"Robotics            ","Japan         ","Nagoya        ",2010,"Active               ",4.7
"GreenTech Solutions ","EcoSustain          ","Renewable Tech   ","Green Tech        ","Energy          ",32,10,12,400,"Energy               ","Spain         ","Valencia      ",2012,"Inactive            ",4
"MobileConnect Innovate ","MobileSync Pro   ","Mobile Apps      ","Mobile           ","Consumer        ",24,5,8,250,"Technology           ","India         ","Chennai       ",2008,"Active               ",4.2
"FinTech Dynamics    ","FinSecure           ","Finance Tech     ","Blockchain       ","Finance         ",80,22,25,900,"Finance              ","South Korea   ","Incheon       ",2005,"Inactive            ",4.5
"TechNest            ","NestLearn           ","EdTech           ","AI               ","Education       ",40,10,15,550,"Education            ","Sweden        ","Malmo         ",2013,"Active               ",4.3
"AutoTech Dynamics   ","AutoNavigate        ","Automotive Tech  ","AI               ","Manufacturing   ",60,16,18,700,"Automotive          ","Italy         ","Turin         ",2009,"Active               ",4.6
"EduTech Innovations ","LearnEase           ","eLearning        ","AI               ","Education       ",28,7,10,350,"Education            ","Brazil        ","Brasilia      ",2014,"Inactive            ",4.1
"AeroTech Innovate   ","SkyNaut             ","Aerospace Tech   ","IoT              ","B2B             ",85,25,20,950,"Aerospace            ","China         ","Shenzhen      ",2006,"Active               ",4.8
"AgriTech Dynamics   ","AgriMonitor         ","AgriTech         ","IoT              ","Agriculture     ",42,10,12,500,"Agriculture          ","Mexico        ","Monterrey     ",2010,"Inactive            ",4.4
"TechInnovate      ","QuantumSolutions   ","Software         ","Quantum Computing ","B2B              ",120,25,15,800,"IT Services          ","USA            ","San Francisco ",2005,"Active             ",4.5
"RoboTech          ","AutoPilot Systems   ","Robotics         ","AI               ","Manufacturing    ",90,18,12,600,"Automotive          ","Germany        ","Berlin        ",2010,"In Progress        ",4.2
"CloudGenius       ","CloudConnect        ","Cloud Services   ","Cloud Computing  ","Enterprise       ",200,40,20,1200,"Technology          ","UK             ","London        ",2012,"Active             ",4.8
"HealthTech360     ","MediCare Suite      ","Health Tech       "," AI, IoT          ","Healthcare       ",55,12,10,500,"Health Services      ","Canada         ","Toronto       ",2011,"Completed          ",4.6
"EcoEnergy         ","GreenPower Systems  ","Renewable Energy ","Green Tech        ","Energy           ",35,8,8,400,"Energy              ","Australia      ","Sydney        ",2008,"Active             ",4.3
"DataDynamicsCorp  ","DataInsight         ","Big Data          ","Data Analytics   ","Finance          ",80,15,18,900,"Financial Services   ","France         ","Paris         ",2007,"Active             ",4.4
"RoboPetCare       ","PetBot              ","Robotics         "," AI, Robotics     ","Consumer         ",25,5,5,300,"Pet Care            ","Japan          ","Tokyo         ",2015,"Completed          ",4
"EduTechSolutions  ","LearnHub            ","EdTech           "," AI, E-Learning   ","Education        ",40,10,10,500,"Education           ","India          ","Mumbai        ",2013,"Active             ",4.7
"SecureSys         ","CyberShield         ","Cybersecurity    ","Security         ","B2G              ",70,14,15,700,"Government          ","South Korea    ","Seoul         ",2009,"Active             ",4.5
"AgriInnovate      ","SmartHarvest        ","AgTech           "," IoT, Agriculture ","Agriculture      ",30,6,7,350,"Agriculture         ","Brazil         ","Sao Paulo     ",2014,"Completed          ",4.2
"TechCommerce      ","E-Store Solutions   ","E-Commerce       "," SaaS, E-Commerce ","SMB              ",50,12,9,450,"Retail              ","Spain          ","Barcelona     ",2010,"In Progress        ",4.6
"AeroTech          ","FlightCommand       ","Aerospace        "," AI, Aerospace    ","B2B              ",110,20,22,1000,"Aerospace           ","USA            ","Los Angeles   ",2006,"Active             ",4.4
"AutoConnect       ","AutoLink            ","Automotive       "," IoT, Connectivity","Consumer         ",60,10,12,600,"Automotive          ","Italy          ","Milan         ",2012,"Active             ",4.3
"FinovaTech        ","FinCloud            ","FinTech          ","Blockchain       ","Finance          ",90,18,16,800,"Financial Services   ","Singapore      ","Singapore     ",2007,"In Progress        ",4.8
"MedInnovations    ","MediScan            ","MedTech          "," AI, Medical      ","Healthcare       ",45,8,10,550,"Health Services      ","USA            ","Boston        ",2013,"Active             ",4.5
"RoboHome          ","SmartLiving         ","Smart Home       "," IoT, Home Automation","Consumer       ",28,6,6,350,"Home Automation     ","Canada         ","Vancouver     ",2016,"Completed          ",4.1
"QuantumMind       ","QuantumLearn        ","EdTech           ","Quantum Computing","Education        ",55,12,10,500,"Education           ","Germany        ","Munich        ",2011,"In Progress        ",4.7
"SecureBank        ","CryptoGuard         ","FinTech          ","Cryptocurrency   ","Finance          ",75,15,14,700,"Financial Services   ","USA            ","New York      ",2009,"Active             ",4.6
"AgroTech          ","SmartFarm           ","AgTech           "," IoT, Agriculture ","Agriculture      ",33,7,8,400,"Agriculture         ","Australia      ","Melbourne     ",2015,"Active             ",4.3
"TechGlobe         ","GlobalConnect       ","Connectivity     "," 5G, IoT          ","B2B              ",95,20,18,900,"Technology          ","UK             ","Manchester    ",2008,"Completed          ",4.4
"BioTechCure       ","GeneCure            ","Biotech          "," CRISPR, Gene Therapy ","Healthcare    ",65,12,14,650,"Biotechnology       ","Switzerland    ","Zurich        ",2010,"In Progress        ",4.5
"EduGames          ","LearnPlay           ","EdTech           ","Gamification     ","Education        ",38,8,9,450,"Education           ","Brazil         ","Rio de Janeiro ",2012,"Active             ",4.2
"AeroLogistics     ","DroneLog            ","Logistics        "," AI, Drones       ","B2B              ",78,15,16,750,"Logistics           ","Japan          ","Osaka         ",2006,"Active             ",4.7
"AquaTech          ","AquaMonitor         ","Environmental    "," IoT, Water Management",Environmental,40,9,10,500,"Environmental       ","South Africa   ","Cape Town     ",2013,"Completed          ",4.6
"SecureGov         ","GovShield           ","Cybersecurity    ","Security         ","B2G              ",85,16,17,850,"Government          ","Canada         ","Ottawa        ",2007,"Active             ",4.4
"FinTrade          ","TradeConnect        ","FinTech          ","Blockchain       ","Finance          ",88,18,16,800,"Financial Services   ","India          ","Delhi         ",2009,"Completed          ",4.8
"RoboHealth        ","HealthAssist        ","Health Tech       "," Robotics, AI     ","Healthcare       ",50,10,12,600,"Health Services      ","Australia      ","Brisbane      ",2011,"Active             ",4.3
"TechBazaar        ","E-Marketplace       ","E-Commerce       "," SaaS, Marketplace","SMB              ",55,12,10,500,"Retail              ","USA            ","Seattle       ",2014,"Active             ",4.5
"GreenTech         ","EcoSolutions        ","Green Tech       ","Renewable Energy ","Energy           ",42,8,9,450,"Energy              ","Germany        ","Hamburg       ",2008,"In Progress        ",4.1
"EduSkill          ","SkillHub            ","EdTech           "," AI, Skill Training","Education        ",32,7,8,400,"Education           ","Singapore      ","Singapore     ",2015,"Active             ",4.2
"AutoSmart         ","DriveAssist         ","Automotive       "," AI, Automotive   ","Consumer         ",70,15,16,750,"Automotive          ","South Korea    ","Busan         ",2006,"Active             ",4.6
"FinSecure         ","CryptoVault         ","FinTech          ","Cryptocurrency   ","Finance          ",92,20,18,900,"Financial Services   ","France         ","Lyon          ",2005,"Completed          ",4.7
"MedConnect        ","HealthLink          ","MedTech          "," IoT, Telemedicine","Healthcare       ",48,9,11,550,"Health Services      ","Brazil         ","Brasilia      ",2010,"Active             ",4.4
"AgroHarvest       ","SmartAgro           ","AgTech           "," IoT, Agriculture ","Agriculture      ",28,6,7,350,"Agriculture         ","Italy          ","Rome          ",2014,"Active             ",4
"TechExpress       ","RapidConnect        ","Connectivity     "," 5G, IoT          ","B2B              ",100,22,20,1200,"Technology          ","India          ","Mumbai        ",2007,"Active             ",4.8
"BioMedTech        ","NanoCure            ","Biotech          ","Nanotechnology   ","Healthcare       ",60,14,15,700,"Biotechnology       ","Australia      ","Perth         ",2009,"In Progress        ",4.3
"EduPlay           ","EduGames            ","EdTech           ","Gamification     ","Education        ",35,7,8,400,"Education           ","Japan          ","Tokyo         ",2012,"Active             ",4.5
"AutoLink          ","SmartDrive          ","Automotive       "," AI, Connectivity ","Consumer         ",75,16,15,700,"Automotive          ","Spain          ","Madrid        ",2008,"Active             ",4.2
"FinEdge           ","EdgeCrypto          ","FinTech          ","Blockchain       ","Finance          ",85,18,17,850,"Financial Services   ","South Africa   ","Johannesburg  ",2011,"Completed          ",4.6
"RoboMed           ","MediBot             ","Health Tech       "," Robotics, AI     ","Healthcare       ",55,12,12,600,"Health Services      ","Canada         ","Montreal      ",2006,"Active             ",4.4
"AgroTech          ","SmartCrops          ","AgTech           "," IoT, Agriculture ","Agriculture      ",40,8,9,450,"Agriculture         ","Germany        ","Frankfurt     ",2013,"Active             ",4.3
"TechPulse         ","PulseConnect        ","Connectivity     "," 5G, IoT          ","B2B              ",95,20,18,900,"Technology          ","USA            ","Chicago       ",2009,"Active             ",4.4
"BioGenius         ","GeneTherapy         ","Biotech          "," CRISPR, Gene Therapy ","Healthcare    ",70,15,14,700,"Biotechnology       ","UK             ","Birmingham    ",2010,"Active             ",4.5
"EduTechPro        ","EduSolve            ","EdTech           "," AI, Edutainment  ","Education        ",45,10,11,550,"Education           ","Brazil         ","Belo Horizonte",2014,"Completed          ",4.2
"TechSolutions      ","DataHub Pro      ","Big Data         ","Analytics        ","Enterprise     ",85,15,18,700,"IT Services          ","USA          ","New York  ",2005,"Strategic Partner    ",4.7
"InnovateSoft       ","CloudConnect      ","Cloud Services   ","Cloud Computing  ","B2B            ",120,25,23,1100,"Technology           ","Germany      ","Berlin    ",2010,"Reseller            ",4.5
"SmartTech          ","SmartOffice Suite ","Software         ","SaaS             ","SMB            ",45,8,12,500,"Business Services    ","Canada       ","Toronto   ",2008,"Partner             ",4.2
"CyberGuard         ","SecureNet         ","Cybersecurity    ","Security         ","B2G            ",65,12,15,800,"Government           ","UAE          ","Dubai     ",2012,"Supplier            ",4.4
"RoboInnovations    ","RoboAssistant     ","Robotics         ","AI               ","Consumer       ",30,10,8,300,"Electronics          ","Japan        ","Tokyo     ",2015,"Joint Venture        ",4
"DataDrivenInsights  ","Insight360        ","Analytics        ","Big Data         ","Finance        ",75,20,22,900,"Financial Services   ","UK           ","London    ",2007,"Reseller            ",4.6
"EcoEnergy          ","GreenPower        ","Renewable Energy ","Green Tech       ","Energy         ",55,13,14,600,"Energy              ","Australia    ","Sydney    ",2011,"Strategic Partner    ",4.3
"HealthInnovate     ","HealthConnect     ","Health Tech       ","Health Tech      ","Healthcare     ",70,18,20,750,"Healthcare          ","Mexico       ","Mexico City",2009,"Partner             ",4.5
"TechPulse          ","PulseTracker      ","Wearables        ","IoT              ","Consumer       ",25,7,10,250,"Electronics          ","USA          ","San Francisco ",2013,"Reseller            ",4.1
"QuantumSystems     ","QuantumCloud      ","Quantum Computing","Quantum Computing","Enterprise     ",90,30,25,1200,"Technology           ","Canada       ","Vancouver ",2014,"Strategic Partner    ",4.8
"VisionaryTech      ","VisionAI          ","AI Solutions      ","AI              ","Enterprise     ",110,22,21,1000,"Technology           ","Germany      ","Munich    ",2006,"Joint Venture        ",4.7
"MobileInnovations  ","MobileSecure      ","Mobile Security   ","Security         ","B2B            ",40,8,13,450,"Technology           ","USA          ","Los Angeles ",2010,"Reseller            ",4.3
"FutureTech         ","FutureConnect     ","IoT Solutions     ","IoT              ","B2B            ",80,15,19,850,"Technology           ","Australia    ","Melbourne ",2012,"Joint Venture        ",4.6
"GlobalAnalytics    ","GlobalInsights    ","Data Analytics    ","Analytics        ","Enterprise     ",95,18,20,950,"Business Services    ","UK           ","Manchester ",2008,"Reseller            ",4.4
"SecureComm         ","SecureConnect      ","Networking       ","Networking      ","B2G            ",50,12,16,600,"Government           ","UAE          ","Abu Dhabi ",2011,"Supplier            ",4.2
"RoboTech           ","RoboVision        ","Robotics         ","AI               ","Consumer       ",28,9,9,320,"Electronics          ","Japan        ","Osaka     ",2016,"Reseller            ",4
"FinancialInsight   ","FinTechSuite      ","Fintech          ","Blockchain       ","Finance        ",60,15,17,700,"Financial Services   ","Canada       ","Montreal  ",2009,"Partner             ",4.5
"HealthGuard        ","HealthShield      ","Health Tech       ","Health Tech      ","Healthcare     ",75,20,22,850,"Healthcare          ","Mexico       ",Guadalajara,2013,"Strategic Partner    ",4.7
"TechVision         ","Vision360         ","Augmented Reality","AR              ","Consumer       ",32,10,11,350,"Electronics          ","USA          ","Seattle   ",2014,"Reseller            ",4.2
"CloudInnovate      ","CloudScale        ","Cloud Services    ","Cloud Computing  ","Enterprise     ",100,25,24,1100,"Technology           ","Germany      ","Frankfurt ",2005,"Joint Venture        ",4.9
"SmartSolutions     ","SmartERP          ","ERP Solutions     ","ERP              ","B2B            ",50,10,14,600,"Business Services    ","Canada       ","Vancouver ",2007,"Reseller            ",4.3
"CyberDefender      ","CyberGuardian     ","Cybersecurity    ","Security         ","B2G            ",70,15,19,750,"Government           ","UAE          ","Sharjah   ",2010,"Supplier            ",4.6
"RoboInvent         ","RoboGrip          ","Robotics         ","AI               ","Consumer       ",35,12,10,400,"Electronics          ","Japan        ","Nagoya    ",2015,"Reseller            ",4.1
"DataMinds          ","MindSync          ","AI Solutions      ","AI              ","Enterprise     ",120,30,26,1300,"Technology           ","UK           ","Edinburgh ",2006,"Strategic Partner    ",4.8
"GreenTechEnergy    ","EcoPower          ","Renewable Energy ","Green Tech       ","Energy         ",50,10,13,550,"Energy              ","Australia    ","Brisbane  ",2012,"Joint Venture        ",4.4
